,geoid,Under 18,18 to 24 years,25-45 years,45-65 years,65 older,Male,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Mixed Races,Estimate Management business science and arts,Estimate Service,Estimate Sales and office,Estimate Natural resources construction and maintenance,Estimate Production transportation and material moving,Median_income,Total
269,14000US27053109200,308,326,1569,641,607,1651,2927,198,57,78,0,59,264,1128,387,439,98,293,56331,3451
270,14000US27053109300,511,346,1941,1008,332,2042,3057,332,12,152,0,373,424,1506,522,623,87,264,61518,4138
271,14000US27053109400,639,354,710,338,122,993,1063,482,57,124,0,265,344,349,338,224,54,158,55750,2163
272,14000US27053109700,627,175,908,625,176,1203,1682,348,143,30,0,149,318,769,185,236,91,207,68571,2511
273,14000US27053109800,1073,294,1151,1197,488,2109,3739,200,0,104,0,0,320,1690,148,392,8,129,109784,4203
274,14000US27053109900,707,237,1428,1042,346,1863,3195,65,0,151,0,143,412,1530,364,297,144,164,86786,3760
275,14000US27053110000,569,308,648,372,90,1035,680,630,17,93,0,482,170,329,155,269,71,277,60456,1987
276,14000US27053110100,587,213,897,789,251,1448,2018,185,50,34,0,159,582,815,270,388,101,156,68277,2737
277,14000US27053110200,651,124,1298,946,423,1725,2966,80,6,37,0,213,280,1233,387,330,114,140,82762,3442
278,14000US27053110400,749,82,1432,883,289,1687,2465,809,0,72,0,8,162,1004,379,536,69,130,58250,3435
279,14000US27053110500,812,217,1536,1118,956,2319,3992,208,17,171,14,16,442,1898,199,446,59,124,74063,4639
280,14000US27053110800,926,322,1738,1136,400,2097,3891,255,24,122,0,91,278,1806,457,418,82,180,89557,4522
281,14000US27053110900,760,125,1362,761,377,1591,2159,678,8,167,0,291,164,1200,250,308,112,135,89091,3385
282,14000US27053111100,649,139,1306,927,451,1783,2955,156,12,96,0,122,262,1306,268,375,79,173,81821,3472
283,14000US27053111200,810,181,915,934,436,1586,3071,47,46,81,0,0,62,1239,116,325,19,65,127222,3276
284,14000US27053111300,1400,154,1362,1393,621,2391,4288,200,0,135,0,8,598,2057,140,420,36,50,140347,4930
285,14000US27053111400,1335,81,1107,1150,558,2000,3770,164,9,207,0,10,142,1594,157,378,45,143,155114,4231
286,14000US27053111500,1271,265,1615,1512,790,2661,4854,246,140,75,0,35,206,1822,350,547,165,232,107279,5453
287,14000US27053111600,723,149,1000,1001,412,1652,2752,416,29,35,0,17,72,1270,151,435,37,86,131771,3285
288,14000US27053122500,664,225,1515,708,357,1688,2688,289,25,163,0,6,596,1438,229,391,101,101,81850,3469
289,14000US27053122600,411,105,950,551,284,1060,2157,28,6,56,0,0,108,933,87,391,47,132,97670,2301
290,14000US27053125500,909,216,1103,949,640,1811,2788,510,3,205,0,153,316,595,446,536,143,323,48942,3817
291,14000US27053125600,351,1402,869,712,351,1914,2686,147,46,582,0,17,414,1356,314,417,21,214,68500,3685
292,14000US27053125700,1343,520,993,618,249,1869,611,1716,35,748,0,388,450,377,441,178,116,377,40938,3723
293,14000US27053125800,1750,400,1945,859,365,2663,2105,1956,27,220,0,865,292,816,869,272,80,452,49750,5319
294,14000US27053125900,1892,481,1497,700,301,2444,1149,1450,735,367,0,1060,220,508,530,324,281,309,39838,4871
295,14000US27053126000,1709,621,1250,1130,747,2755,1437,2897,107,57,0,786,346,486,782,458,132,244,18715,5457
296,14000US27053126100,638,603,3797,1895,791,4162,4539,1752,200,925,0,34,548,2823,307,1032,66,96,75119,7724
297,14000US27053126200,705,300,3443,1428,288,3331,4704,855,51,242,0,83,458,3363,196,607,49,124,99563,6164
298,14000US27053980000,38,0,55,148,14,173,188,59,3,0,0,4,2,17,19,19,17,29,18194,255
